timestamp,feature1,feature2
2023-10-01 12:00:00,16,133
2023-10-01 12:00:01,11,176
2023-10-01 12:00:02,43,148
2023-10-01 12:00:03,81,157
2023-10-01 12:05:00,67,97
2023-10-01 12:05:01,86,66
2023-10-01 12:10:00,74,166
2023-10-01 12:10:01,60,118
2023-10-01 12:10:02,83,72
2023-10-01 12:15:00,89,60
2023-10-01 12:20:00,92,198
2023-10-01 12:25:00,62,95
2023-10-01 12:30:00,72,150
2023-10-01 12:30:01,54,92
2023-10-01 12:35:00,55,47
2023-10-01 12:35:01,30,21
2023-10-01 12:35:02,62,115
2023-10-01 12:40:00,33,119
2023-10-01 12:40:01,54,42
2023-10-01 12:45:00,46,71
2023-10-01 12:45:01,14,27
2023-10-01 12:45:02,33,168
2023-10-01 12:50:00,20,129
2023-10-01 12:55:00,93,35
2023-10-01 13:00:00,13,179
2023-10-01 13:05:00,50,81
